EX481, PRIN ENGR SYSTEMS DESIGN CAPSTONE PROJ
EX481S, INTERDISCIPLINARY SPECIAL TOPICS
EX482S, INTERDISCIPLINARY SPECIAL TOPICS
EX485, ADVANCED TOPICS IN MECHANICAL ENGINEERING
EX485A, ADVANCED INTERDISCIPLINARY TOPICS IN ENGINEERING
EX485B, INTERDISCIPLINARY CAPSTONE DESIGN
EX485F, INTERDISCIPLINARY CAPSTONE DESIGN
EX485M, INTERDISCIPLINARY CAPSTONE DESIGN
EX485S, INTERDISCIPLINARY CAPSTONE DESIGN
EX486, ADVANCED TOPICS IN MECHANICAL ENGINEERING
EX486A, ADV TOPICS IN ELECTRICAL AND COMPUTER ENGR
EX486B, ADVANCED TOPICS IN MECHANICAL ENGINEERING
EX486C, ADVANCED TOPICS IN MECHANICAL ENGINEERING
EX486F, ADVANCED TOPICS IN MECHANICAL ENGINEERING
EX486M, INTERDISCIPLINARY CAPSTONE DESIGN
EX486S, INTERDISCIPLINARY CAPSTONE DESIGN
EX487A, INTERDISCIPLINARY CAPSTONE DESIGN
EX488A, INTERDISCIPLINARY CAPSTONE DESIGN II
EX491A, INTERDISIPLINARY CAPSTONE DESIGN
EX492A, INTERDISIPLINARY CAPSTONE DESIGN
FA101, BASIC ARABIC I
FA102, BASIC ARABIC II
FA201, INTERMEDIATE  ARABIC I
FA202, INTERMEDIATE ARABIC II
FA202A, INTERMEDIATE ARABIC II
FA281A, TOPICS IN ARABIC STUDIES
FA281B, TOPICS IN ARABIC STUDIES
FA281C, TOPICS IN ARABIC STUDIES
FA282, TOPICS IN ARABIC STUDIES
FA282A, TOPICS IN ARABIC STUDIES
FA282B, TOPICS IN ARABIC STUDIES
FA282C, TOPCIS IN ARABIC STUDIES
FA285I, TOPICS IN ARABIC
FA285J, TOPICS IN ARABIC
FA286, TOPICS IN ARABIC STUDIES
FA286I, TOPICS IN ARABIC
FA286J, TOPICS IN ARABIC
FA287, TOPICS IN ARABIC
FA288, TOPICS IN ARABIC
FA301, ADVANCED ARABIC I
FA302, ADVANCED ARABIC II
FA325, MEDIA ARABIC
FA342, ARABIC DIALECT
FA342G, ARABIC DIALECT (EGYPTIAN)
FA342L, ARABIC DIALECT (LEBANESE)
FA342P, ARABIC DIALECT (PALESTINIAN)
FA350, WINDOW ON ARABIC CULTURE
FA425, ARABIC DISCOURSE IN SOCIETY
FA426, MODERN ARABIC LITERATURE
FA482A, TOPICS IN ARABIC (ARA)
FA485, ADVANCED TOPICS IN ARABIC
FA485A, ADV TOPICS IN ARABIC (ARA)
FA485B, ADV TOPICS IN ARABIC (ARA)
FA486, ADVANCED TOPICS IN ARABIC
FA486A, ADV TOPICS IN ARABIC (ARA)
FA486B, ADV TOPICS IN ARABIC (ARA)
FA486C, ADV TOPICS IN ARABIC (ARA)
FA486E, ADV TOPICS IN ARABIC (ENG)
FA486F, ADV TOPICS IN ARABIC (ENG)
FA495, RESEARCH IN ARABIC
FC101, BASIC CHINESE I
FC102, FIRST-YEAR CHINESE II
FC201, INTERMEDIATE CHINESE I
FC201M, INTERMEDIATE CHINESE I
FC202, SECOND-YEAR CHINESE II
FC202A, INTERMEDIATE CHINESE II
FC280, TOPICS IN CHINESE
FC281, TOPICS IN CHINESE
FC282E, TOPICS IN CHINESE (TAUGHT IN ENGLISH)
FC285E, TOPICS IN CHINESE
FC285I, TOPICS IN CHINESE
FC285J, TOPICS IN CHINESE
FC286, TOPICS IN CHINESE
FC286I, TOPICS IN CHINESE
FC286J, TOPICS IN CHINESE
FC287, TOPICS IN CHINESE
FC288, TOPICS IN CHINESE
FC301, ADVANCED CHINESE I
FC302, THIRD-YEAR CHINESE II
FC350, CHINESE CULTURE THROUGH FILM
FC360, 20TH-CENTURY CHINESE LIT
FC401, CHINESE LANGUAGE & CULTURE I
FC402, CHINESE LANGUAGE & CULTURE II
FC403, CHINESE LANGUAGE & CULTURE III
FC404, CHINESE LANGUAGE & CULTURE IV
FC411, ADVANCED READING & WRITING I
FC412, ADVANCED READING & WRITING II
FC413, ADVANCED READING & WRITING IN CHINESE III
FC414, ADVANCED READING & WRITING IN CHINESE IV
FC450, STYLES OF DISCOURSE IN CHINESE
FC460, CHINESE IN MEDIA
FC484A, ADVANCED TOPICS IN CHINESE
FC485, ADVANCED TOPICS IN CHINESE
FC485A, ADVANCED TOPICS IN CHINESE
FC485B, ADVANCED TOPICS IN CHINESE
FC485C, ADVANCED TOPICS IN CHINESE
FC485E, ADV TOPICS IN CHINESE (ENG)
FC486, ADVANCED TOPICS IN CHINESE
FC486A, ADVANCED TOPICS IN CHINESE
FC486B, ADVANCED TOPICS IN CHINESE
FC486C, ADVANCED TOPICS IN CHINESE
FC486E, ADVANCED TOPICS IN CHINESE (ENG)
FE210, INTRODUCTORY ECONOMICS
FE210M, INTRODUCTORY ECONOMICS - MAJORS ONLY
FE210Q, INTRODUCTORY ECONOMICS
FE220, ACCOUNTING
FE230, PERSONAL FINANCE
FE285A, TOPICS IN ECONOMICS
FE285B, TOPICS IN ECONOMICS
FE285C, TOPICS IN ECONOMICS
FE286A, TOPICS IN ECONOMICS
FE286B, TOPICS IN ECONOMICS
FE286C, TOPICS IN ECONOMICS
FE286D, TOPICS IN ECONOMICS
FE301, FINANCIAL ANALYSIS
FE310, ECONOMIC GEOGRAPHY
FE311, HISTORY OF ECONOMIC THOUGHT
FE312, MACROECONOMICS
FE312Q, MACROECONOMICS
FE314, INTERNATIONAL TRADE  AND POLICY
FE315, ECONOMICS OF DEVELOPING NATIONS
FE320, COST ACCOUNTING
FE321, COMPARATIVE SYSTEMS AND TRANSITIONAL ECONOMIES
FE331, ECONOMIC STATISTICS
FE334, FINANCIAL MARKETS AND INSTITUTIONS
FE335, ECONOMICS OF NATIONAL DEFENSE
FE337, ECONOMICS OF THE DEFENSE INDUSTRIAL BASE
FE341, MICROECONOMICS
FE341Q, MICROECOMOMICS
FE342, ECONOMIC METHODS FOR ENGINEERS
FE345, ENVIRONMENTAL ECONOMICS
FE354, DEVELOPMENT OF THE U.S. ECONOMY
FE362, THE ECONOMICS OF TECHNOLOGY
FE363, MACROECONOMICS
FE363Q, MACROECONOMICS
FE365, MACROECONOMICS
FE365Q, MACROECONOMICS
FE400, ADVANCED MICROECONOMIC THEORY
FE405, ADVANCED MACROECONOMIC THEORY
FE411, ECONOMIC DEVELOPMENT AND GROWTH
FE412, INTERNATIONAL TRADE AND FINANCE
FE422, LABOR ECONOMICS
FE431, PUBLIC FINANCE
FE434, MONEY AND BANKING
FE435, MACROECONOMIC FORECASTING
FE436, BUSINESS CYCLES
FE437, MONETARY THEORY AND POLICY
FE438, ECONOMICS OF FINANCIAL CRISES
FE445, ECONOMETRICS
FE450, GAME THEORY
FE460, PUBLIC POLICIES TOWARD BUSINESS
FE461, INDUSTRIAL ORGANIZATION
FE462, INFORMATION ECONOMICS
FE467, LAW AND ECONOMICS
FE475, RESEARCH SEMINAR IN ECONOMICS
FE475A, RESEARCH SEMINAR
FE475B, RESEARCH SEMINAR
FE475C, RESEARCH SEMINAR
FE475D, RESEARCH SEMINAR
FE475E, RESEARCH SEMINAR
FE475F, RESEARCH SEMINAR
FE475G, RESEARCH SEMINAR
FE475H, RESEARCH SEMINAR
FE475I, RESEARCH SEMINAR
FE475J, RESEARCH SEMINAR
FE475K, RESEARCH SEMINAR
FE475L, RESEARCH SEMINAR
FE480, IT RESEARCH SEMINAR (FE)
FE481, ADVANCED TOPICS IN ECONOMICS
FE481F, ADVANCED TOPICS IN ECONOMICS
FE482, ADVANCED TOPICS IN ECONOMICS
FE482F, ADVANCED TOPICS IN ECONOMICS
FE484, ADVANCED TOPICS IN ECONOMICS
FE485, ADVANCED TOPICS IN ECONOMICS
FE485A, ADVANCED TOPICS IN ECONOMICS
FE485B, ADVANCED TOPICS IN ECONOMICS
FE485C, ADVANCED TOPICS IN ECONOMICS
FE486, ADVANCED TOPICS IN ECONOMICS
FE486A, ADVANCED TOPICS IN ECONOMICS
FE486B, ADVANCED TOPICS IN ECONOMICS
FE486C, ADVANCED TOPICS IN ECONOMICS
FE486E, ADVANCED TOPICS IN ECONOMICS
FE486L, TOPICS IN ECONOMICS
FE486R, ADVANCED TOPICS IN ECONOMICS
FE486V, ADVANCED TOPICS IN ECONOMICS
FE491, TOPICS IN ECONOMICS
FE493, TOPICS IN ECONOMICS
FE494, TOPICS IN ECNOMICS
FE495, TOPICS IN ECONOMICS
FE496, TOPICS IN ECONOMICS
FE500, HONORS RESEARCH SEMINAR I
FE506, HONORS RESEARCH PROJECT
FE520, HONORS COURSE
FE523, ECONOMETRICS
FE589, TRIDENT SCHOLAR PROJECT
FE593, TRIDENT SCHOLAR PROJECT
FF101, BASIC FRENCH I
FF102, BASIC FRENCH II
FF201, INTERMEDIATE FRENCH I
FF202, INTERMEDIATE FRENCH II
FF281A, TOPICS IN FRENCH
FF281B, TOPICS IN FRENCH
FF282A, TOPICS IN FRENCH
FF282B, TOPICS IN FRENCH
FF286, TOPICS IN FRENCH
FF301, ADVANCED FRENCH WITH CIVILIZATION READINGS I
FF302, ADVANCED FRENCH WITH CIVILIZATION READINGS II
FF411, DEVELOPMENT OF FRENCH CIVILIZATION
FF412, MODERN FRANCE
FF421, REPRESENTATIVE READINGS IN FRENCH LITERATURE I
FF422, REPRESENTATIVE READINGS IN FRENCH LITERATURE II
FF432, FRANCE AND THE ARAB WORLD
FF481, SEMINAR IN FRENCH LITERATURE I
FF482, SEMINAR IN FRENCH LITERATURE II
FF485, ADVANCED TOPICS IN FRENCH
FF486, ADVANCED TOPICS IN FRENCH
FF486A, ADVANCED TOPICS IN FRENCH
FF486B, ADVANCED TOPICS IN FRENCH
FG101, BASIC GERMAN I
FG102, BASIC GERMAN II
FG201, INTERMEDIATE GERMAN I
FG202, INTERMEDIATE GERMAN II
FG310, INTRODUCTION TO CONTEMPORARY GERMANY
FG320, INTRODUCTION TO GERMAN LITERATURE
FG411, DEVELOPMENT OF GERMAN CIVILIZATION
FG412, MODERN GERMANY
FG421, REPRESENTATIVE READINGS IN GERMAN LITERATURE I
FG422, REPRESENTATIVE READINGS IN GERMAN LITERATURE II
FG485, ADVANCED TOPICS IN GERMAN
FG486, ADVANCED TOPICS IN GERMAN
FJ101, BASIC JAPANESE I
FJ102, BASIC JAPANESE II
FJ201, INTERMEDIATE  JAPANESE I
FJ202, INTERMEDIATE  JAPANESE II
FJ281, TOPICS IN JAPANESE
FJ281B, TOPICS IN JAPANESE
FJ282, TOPICS IN JAPANESE
FJ282A, TOPICS IN JAPANESE
FJ285E, TOPICS IN JAPANESE
FJ301, ADVANCED JAPANESE I
FJ301X, ADVANCED JAPANESE I
FJ302, ADVANCED JAPANESE II
FJ302X, ADVANCED JAPANESE II
FJ411, ADV JAPANESE TRANSLATION AND INTERPRETATION
FJ412, ADVANCED JAPANESE CONVERSATION
FJ425, MEDIA STUDIES IN JAPANESE
FJ481, ADV TOPICS IN JAPANESE
FJ482, ADV TOPICS IN JAPANESE
FJ485, ADVANCED TOPICS IN JAPANESE
FJ485A, ADVANCED TOPICS IN JAPANESE
FJ485B, ADVANCED TOPICS IN JAPANESE
FJ485E, ADVANCED TOPICS IN JAPANESE (ENG)
FJ486, ADVANCED TOPICS IN JAPANESE
FJ486A, ADVANCED TOPICS IN JAPANESE
FJ486B, ADVANCED TOPICS IN JAPANESE
FJ486E, ADVANCED TOPICS IN JAPANESE (ENG)
FK486, INDEPENDENT STUDY IN KOREAN
FL220, LANGUAGE AND LINGUISTICS
FL281, TOPICS IN LANGUAGES AND CULTURES
FL283, TOPICS IN LANGUAGES AND CULTURES
FL285, TOPICS IN LANGUAGE STUDIES
FL286, TOPICS IN LANGUAGE STUDIES
FL301, INTERCULTURAL COMMUNICATION
FL302, INTRO TO CULTURAL ANTHROPOLOGY
FL471A, SEMESTER ABROAD PRE-DEPART INTERCULTURAL SEMINAR
FL471B, SEMESTER ABROAD IN COUNTRY INTERCULTURAL SEMINAR
FL471C, SEMESTER ABROAD RE-ENTRY INTERCULTURAL SEMINAR
FL480, IT RESEARCH SEMINAR (FL)
FL481A, ADVANCED TOPICS IN LANGUAGES & CULTURES
FL481B, ADVANCED TOPICS IN LANGUAGES & CULTURES
FL481C, ADVANCED TOPICS IN LANGUAGES & CULTURES
FL485, ADVANDED TOPICS IN LANGUAGE STUDIES
FL486, ADVANCED TOPICS IN LANGUAGE STUDIES
FP130, U. S. GOVERNMENT AND CONSTITUTIONAL DEVELOPMENT
FP130A, U.S. GOVERNMENT AND CONSTITUTIONAL DEVELOPMENT
FP130N, U.S. GOVERNMENT AND CONSTITUTIONAL DEVELOPMENT
FP130X, U. S. GOVERNMENT AND CONSTITUTIONAL DEVELOPMENT
FP210, INTRODUCTION TO INTERNATIONAL RELATIONS
FP220, POLITICAL SCIENCE METHODS
FP230, INTRO TO COMPARATIVE POLITICS
FP286A, TOPICS IN POLITICAL SCIENCE
FP310, INTRODUCTION TO GLOBAL STRATEGIC STUDIES
FP311, ETHICS AND INTERNATIONAL RELATIONS
FP313, INFORMATION TECHNOLOGY AND INTERNATIONAL POLITICS
FP314, FORMULATION OF U. S. FOREIGN POLICY
FP320, ADV POLITICAL SCI METHODS
FP322, COMPARATIVE EUROPEAN POLITICS
FP323, COMPARATIVE LATIN AMERICAN POLITICS
FP324, LATIN AMERICAN INTERNATIONAL POLITICS
FP325, AMERICAN POLITICAL PHILOSOPHY
FP326, AMERICAN PRESIDENCY
FP328, LEGISLATIVE PROCESS
FP335, NON-DEMOCRATIC POLITICS
FP340, MODERN POLITICAL THOUGHT AND IDEOLOGY
FP341, POLITICAL PSYCHOLOGY
FP345, ENVIRONMENTAL POLITICS AND SECURITY
FP350, POLITICAL ECONOMY
FP355, CIVIL-MILITARY RELATIONS
FP356, CONFLICT AND PEACEMAKING
FP357, POLITICS OF CHINA AND JAPAN
FP358, POLITICS OF SOUTHEAST ASIA
FP360, MIDDLE EAST INTERNATIONAL POLITICS
FP364, VIETNAM:  PERSPECTIVES ON THE CONFLICT
FP365, AFRICAN COMPARATIVE POLITICS
FP366, AFRICAN INTERNATIONAL RELATIONS
FP367, POLITICS OF RUSSIA AND THE CIS
FP368, COMPARATIVE ASIAN POLITICS
FP369, MIDDLE EASTERN POLITICS
FP370, FOREIGN POLICY OF RUSSIA AND CIS
FP371, ASIAN INTERNATIONAL POLITICS
FP372, "POLITICAL PARTIES,  CAMPAIGNS AND INTEREST GROUPS"
FP375, POLITICS AND THE MEDIA
FP384, POLITICS OF IRREGULAR WARFARE
FP394, POLITICAL THEORY
FP397, CRIMINAL LAW AND JUSTICE
FP403, ADVANCED RESEARCH SEMINAR IN WASHINGTON
FP407, INTELLIGENCE AND NATIONAL SECURITY
FP408, INTERNATIONAL LAW
FP413, CONSTITUTIONAL LAW:  FEDERAL SYSTEM
FP414, CONSTITUTIONAL LAW: CIVIL LIBERTIES
FP420, PUBLIC POLICY ANALYSIS
FP421, NATIONAL SECURITY POLICY
FP430, POLITICAL PHILOSOPHY
FP437, INTERNATIONAL ORGANIZATIONS
FP440, POLITICS OF CENTRAL EUROPE
FP450, INTERNATIONAL POLITICAL ECONOMY
FP460, CLASS OF 1960 SPECIAL TOPICS IN NATL SECURITY
FP460B, CLASS OF 1960 SPECIAL TOPICS IN NATL SECURITY
FP462, SPECIAL TOPICS IN COMPARATIVE POLITICS
FP468, PALESTINIAN - ISRAELI CONFLICT
FP469, ISLAM AND POLITICS
FP471, CAPSTONE SEMINAR
FP471A, CAPSTONE SEMINAR
FP471B, CAPSTONE SEMINAR
FP471C, CAPSTONE SEMINAR
FP471D, CAPSTONE SEMINAR
FP471E, CAPSTONE SEMINAR
FP471F, CAPSTONE SEMINAR
FP471G, CAPSTONE SEMINAR
FP471H, CAPSTONE SEMINAR
FP480, IT RESEARCH SEMINAR (FP)
FP481, ADVANCED TOPICS IN POLITICAL SCIENCE
FP482, ADVANCED TOPICS IN POLITICAL SCIENCE
FP482A, ADVANCED TOPICS IN POLITICAL SCIENCE
FP482B, ADVANCED TOPICS IN POLITICAL SCIENCE
FP483, ADVANCED TOPICS IN POLITICAL SCIENCE
FP485, ADVANCED TOPICS IN POLITICAL SCIENCE
FP485A, ADVANCED TOPICS IN POLITICAL SCIENCE (FPSA)
FP485B, ADVANCED TOPICS IN POLITICAL SCIENCE (FPSA)
FP485C, ADVANCED TOPICS IN POLITICAL SCIENCE (FPSC)
FP485D, ADVANCED TOPICS IN POLITICAL SCIENCE (FPSC)
FP485E, ADVANCED TOPICS IN POLITICAL SCIENCE
FP485F, ADVANCED TOPICS IN POLITICAL SCIENCE
FP485G, ADVANCED TOPICS IN POLITICAL SCIENCE
FP485H, ADVANCED TOPICS IN POLITICAL SCIENCE
FP485I, ADVANCED TOPICS IN POLITICAL SCIENCE (FPSI)
FP485J, ADVANCED TOPICS IN POLITICAL SCIENCE (FPSI)
FP485K, ADVANCED TOPICS IN POLITICAL SCIENCE (FPSI)
FP486, ADVANCED TOPICS IN POLITICAL SCIENCE
FP486A, ADVANCED TOPICS IN POLITICAL SCIENCE (FPSA)
FP486B, ADVANCED TOPICS IN POLITICAL SCIENCE (FPSA)
FP486C, ADVANCED TOPICS IN POLITICAL SCIENCE (FPSC)
FP486D, ADVANCED TOPICS IN POLITICAL SCIENCE (FPSC)
FP486E, ADVANCED TOPICS IN POLITICAL SCIENCE
FP486F, ADVANCED TOPICS IN POLITICAL SCIENCE
FP486I, ADVANCED TOPICS IN POLITICAL SCIENCE (FPSI)
FP486J, ADVANCED TOPICS IN POLITICAL SCIENCE (FPSI)
FP486K, ADVANCED TOPICS IN POLITICAL SCIENCE (FPSI)
FP486L, OLIN SEM:  INT NEG
FP486M, OLIN SEM IN NAT SEC ISSUES
FP486O, ETHICS AND I.R.
FP493, TOPICS IN POLITICAL SCIENCE
FP495, POLITICAL SCIENCE RESEARCH
FP495A, POLITICAL SCIENCE RESEARCH
FP495B, POLITICAL SCIENCE RESEARCH
FP495R, POLITICAL SCIENCE RESEARCH
FP496, POLITICAL SCIENCE RESEARCH
FP496A, POLITICAL SCIENCE RESEARCH
FP496B, POLITICAL SCIENCE RESEARCH
FP500, HONORS ADVANCED RESEARCH DESIGN
FP505, HONORS SENIOR SEMINAR
FP506, HONORS IND RSCH
FP507, HONORS INTERNSHP RSCH
FP509, HONORS SENIOR SEMINAR
FP510, HONORS SENIOR THESIS
FP520, HONORS RESEARCH DESIGN
FP530, HONORS ADVANCED RESEARCH DESIGN
FP540, HONORS SENIOR SEMINAR
FP592, TRIDENT SCHOLAR PROJECT
FR101, BASIC RUSSIAN I
FR102, BASIC RUSSIAN II
FR201, INTERMEDIATE RUSSIAN I
FR202, INTERMEDIATE RUSSIAN II
FR281A, TOPICS IN RUSSIAN
FR281B, TOPICS IN RUSSIAN
FR282A, TOPICS IN RUSSIAN
FR282B, TOPICS IN RUSSIAN
FR330, THIRD YEAR RUSSIAN I
FR340, THIRD YEAR RUSSIAN II
FR350, RUSSIAN LIT & CULTURE IN TRANSLATION
FR411, ADVANCED RUSSIAN
FR412, CONTEMPORARY RUSSIA
FR460, ADVANCED RUSSIAN THROUGH FILM
FR481, SEMINAR IN RUSSIAN
FR482, SEM IN RUSS LIT II
FR483, ADVANCED TOPICS IN RUSSIAN
FR484, ADVANCED TOPICS IN RUSSIAN
FR485, ADVANCED TOPICS IN RUSSIAN
FR485A, ADVANCED TOPICS IN RUSSIAN
FR486, ADVANCED TOPICS IN RUSSIAN
FR486A, ADVANCED TOPICS IN RUSSIAN
FR486B, ADVANCED TOPICS IN RUSSIAN
FR495, RUSSIAN RESEARCH PROJECT
FS101, BASIC SPANISH I
FS102, BASIC SPANISH II
FS103, BASIC SPANISH I
FS104, BASIC SPANISH II
FS201, INTERMEDIATE SPANISH I
FS202, INTERMEDIATE SPANISH II
FS286, TOPICS IN SPANISH
FS301, ADV SPANISH W/ READINGS ON CONTEMP SPANISH AMERICA
FS304, ADVANCED SPANISH WITH READINGS ON CONTEMPORARY SPA
FS412, CONTEMPORARY LATIN AMERICAN CIVILIZATION
FS413, SPANISH CIVILIZATION
FS421, SPANISH LITERATURE
FS422, SPANISH AMERICAN LITERATURE
FS481, ADVANCED TOPICS IN SPANISH
FS481A, ADVANCED TOPICS IN SPANISH
FS482, ADVANCED TOPICS IN SPANISH
FS482A, SEMINAR IN SPANISH
FS482B, ADVANCED TOPICS IN SPANISH
FS484, ADVANCED TOPICS IN SPANISH
FS485, ADVANCED TOPICS IN SPANISH
FS485A, ADVANCED TOPICS IN SPANISH
FS485E, ADV TOPICS IN SPANISH (ENG)
FS486, ADVANCED TOPICS IN SPANISH
FS486A, ADVANCED TOPICS IN SPANISH
FS486E, ADV TOPICS IN SPANISH (ENG)
FS496, SPANISH RESEARCH PROJECT
FS496I, SPANISH INDEPENDENT STUDY
FX101, ENGLISH FOR NON-NATIVE SPEAKERS I
FX102, ENGLISH FOR NON-NATIVE SPEAKERS II
FX285, TOPICS IN LANG & CULTURES FOR NON-NATIVE SPEAKERS
HE044, PRACTICAL WRITING LABORATORY
HE044X, PRACTICAL WRITING LABORATORY
HE101, PRACTICAL WRITING
HE101E, PRACTICAL WRITING
HE101X, PRACTICAL WRITING
HE111, RHETORIC AND INTRO TO LITERATURE I
HE111N, RHETORIC AND INTRODUCTION TO LITERATURE I
HE111S, RHETORIC AND INTRO TO LITERATURE I
HE111W, RHETORIC AND INTRO TO LITERATURE I
HE111X, RHETORIC AND INTRO TO LITERATURE I
HE112, RHETORIC AND INTRO TO LIT II
HE112F, RHETORIC AND INTRO TO LIT II
HE112N, RHETORIC AND INTRODUCTION TO LITERATURE II
HE112S, RHETORIC AND INTRO TO LIT II
HE112V, RHETORIC AND INTRO TO LIT II
HE112W, RHETORIC AND INTRO TO LIT II
HE200, INTENSIVE WRITING
HE217, EARLY WESTERN LITERATURE
HE217T, WESTERN LIT I
HE218, ANGLO-AMERICAN LITERATURE
HE222, THE BIBLE AND LITERATURE
HE224, LITERATURE AND SCIENCE
HE240, AFRICAN-AMERICAN LITERATURE
HE242, METHODS OF LITERARY ANALYSIS
HE250, LITERATURE OF THE SEA
HE260, LITERATURE OF WAR
HE285, TOPICS IN ENGLISH
HE285A, TOPICS IN ENGLISH
HE285B, TOPICS IN ENGLISH
HE285C, TOPICS IN ENGLISH
HE286, TOPICS IN ENGLISH
HE301, PATTERNS IN DRAMA
HE302, FORMS OF POETRY
HE306, TYPES OF FICTION
HE307, TOPICS IN FILM AND LITERATURE
HE313, CHAUCER AND HIS AGE
HE314, THE RENAISSANCE MIND
HE315, RESTORATION AND EIGHTEENTH-CENTURY LITERATURE
HE317, THE ROMANTIC PERIOD
HE318, MODERN BRITISH LITERATURE
HE319, VICTORIAN LITERATURE
HE320, CONTEMPORARY BRITISH LIT.
HE326, "AMERICAN LIT,  1607-1860"
HE328, "AMERICAN LIT,  1860-1914"
HE329, "AMERICAN LIT,  1914-1945"
HE330, "AMERICAN LIT,  1945-PRESENT"
HE333, SHAKESPEARE
HE340, AFRICAN-AMERICAN LITERATURE
HE343, CREATIVE WRITING
HE344, PROFESSIONAL COMMUNICATION
HE353, TOPICS IN CONTINENTAL LIT.
HE355, TOPICS IN MULTI-ETHNIC LITERATURE
HE360, SPECIAL TOPICS IN LITERATURE
HE360A, SPECIAL TOPICS IN LITERATURE
HE360B, SPECIAL TOPICS IN LITERATURE
HE388, PROFESSIONAL COMM & WRITING LAB
HE442, LITERARY THEORY
HE461, STUDIES IN A LITERARY PERIOD
HE462, STUDIES IN A LITERARY PROBLEM
HE463, STUDIES IN LITERARY FIGURES
HE463A, STUDIES IN LITERARY FIGURES
HE463B, STUDIES IN LITERARY FIGURES
HE467, STUDIES IN A LITERARY GENRE
HE485, ADVANCED TOPICS IN ENGLISH
HE485A, ADVANCED TOPICS IN ENGLISH
HE486, ADVANCED TOPICS IN ENGLISH
HE491, IND RSCH/ENGLISH
HE492, INDEPEND RESEARCH/ENGLISH
HE493, IND RSCH/ENGLISH
HE494, INDEPEND RESEARCH/ENGLISH
HE495, IND RSCH/ENGLISH
HE495A, INDEPENDENT RESEARCH ENGLISH
HE495B, INDEPENDENT RESEARCH ENGLISH
HE496, INDEPEND RESEARCH/ENGLISH
HE503, SEMINAR IN ARTS & LITERATURE
HE504, SEMINAR IN AN ADVANCED TOPIC
HE506, SEMINAR IN ARTS & LITERATURE
HE507, SEMINAR IN AN ADVANCED TOPIC
HE521, HONORS SUPPLEMENT I
HE522, HONORS SUPPLEMENT II
HH104, AMERICAN NAVAL HISTORY
HH104N, AMERICAN NAVAL HERITAGE
HH104X, AMERICAN NAVAL HISTORY
HH205, WESTERN CIVILIZATION:  CULTURE TO 1776
HH205P, WESTERN CIVILIZATION TO 1776
HH206, CIVILIZATION AND THE ATLANTIC COMMUNITY SINCE 1776
HH215, THE WEST IN THE PREMODERN WORLD
HH215A, ASIA IN THE PREMODERN WORLD
HH215M, THE MIDDLE EAST IN THE PREMODERN WORLD
HH215P, THE WEST IN THE PREMODERN WORLD
HH216, THE WEST IN THE MODERN WORLD
HH220, IT REVOLUTIONS: PAST & PRESENT
HH262, PERSPECTIVES ON HISTORY
HH262A, PERSPECTIVES ON HISTORY
HH262B, PERSPECTIVES ON HISTORY
HH262C, PERSPECTIVES ON HISTORY
HH262D, PERSPECTIVES ON HISTORY
HH262E, PERSPECTIVES ON HISTORY
HH262F, PERSPECTIVES ON HISTORY
HH281, TOPICS IN HISTORY
HH285, TOPICS IN HISTORY
HH311, ATHENS: MILITARY DEMOCRACY
HH312, IMPERIAL ROME
HH315, THE AGE OF CHIVALRY AND FAITH
HH316, AGE OF RELIGIOUS WARS
HH317, "INDUSTRIALIZATION,  MODERNISM AND MASS SOCIETY"
HH318, WAR AND SOCIETY IN MODERN EUROPE
HH321, REVOLUTIONARY RUSSIA--PETER THE GREAT TO LENIN
HH322, THE RISE AND FALL OF SOVIET COMMUNISM
HH326, IRELAND AND THE IRISH
HH327, GERMANY AND THE NAZI EXPERIENCE
HH329, MODERN FRANCE:  NAPOLEON TO DEGAULLE
HH330, IMPERIAL ENCOUNTERS
HH331, ART AND IDEAS IN MODERN EUROPE
HH332, GREAT POWER DIPLOMACY
HH337, TOPICS IN EUROPEAN HISTORY
HH337A, TOPICS IN EUROPEAN HISTORY
HH337B, TOPICS IN EUROPEAN HISTORY
HH337C, TOPICS IN EUROPEAN HISTORY
HH345, COLONIAL AMERICA
HH346, REVOLUTIONARY AMERICA AND THE EARLY REPUBLIC
HH347, CIVIL WAR AND RECONSTRUCTION
HH349, EMERGENCE OF MODERN AMERICA 1896-1945
HH350, UNITED STATES SINCE WORLD WAR II
HH352, FILM AND AMERICAN SOCIETY
HH353, AMERICAN SOCIAL HISTORY
HH354, AMERICA IN WORLD AFFAIRS
HH355, ART AND IDEAS IN AMERICAN SOCIETY
HH357, TOPICS IN U.S. HISTORY
HH357A, TOPICS IN U.S. HISTORY
HH357B, TOPICS IN U.S. HISTORY
HH357C, TOPICS IN U.S. HISTORY
HH359, U.S. SECT HIST: THE WEST
HH360, U.S. SECTIONAL HISTORY:  THE SOUTH
HH361, HISTORY OF EAST ASIA
HH362, HISTORY OF THE MIDDLE EAST
HH363, MODERN LATIN AMERICA
HH364, HISTORY OF AFRICA
HH365, PRE-COLUMBIAN AND IBERIAN EMPIRES
HH366, COMPARATIVE WORLD CULTURES
HH367, TOPICS IN REGIONAL HISTORY
HH367A, TOPICS IN REGIONAL HISTORY
HH367B, TOPICS IN REGIONAL HISTORY
HH367C, TOPICS IN REGIONAL HISTORY
HH367D, TOPICS IN REGIONAL HISTORY
HH367E, TOPICS IN REGIONAL HISTORY
HH367F, TOPICS IN REGIONAL HISTORY
HH367S, TOPICS IN REGIONAL HISTORY
